"1.  Күрделі пәндер қатар келгенде (мысалы, қатар тұрған екі ауыр сабақ), екінші сабақта жаңа тақырыпты меңгеру деңгейіңіз қандай?
(1 — өте оңай түсінемін, 5 — ақпаратты қабылдау өте қиын, тез қажимын)","2.  Күннің соңғы сабақтарында (6, 7-сабақтар) мұғалімді тыңдау және зейін қою қабілетіңізді бағалаңыз:
(1 — зейінім өте жоғары, 5 — зейінім мүлдем жоқ, шоғырлана алмаймын)","3.  Ауыр және жеңіл пәндердің ретсіз орналасуынан күн соңында өзіңізді қалай сезінесіз?
(1 — мүлдем шаршамаймын, 5 — шектен тыс қажимын, бас ауруы пайда болады)","4.  Сабақ кестесіндегі кемшіліктердің оқуға деген жалпы ынтаңызға кері әсерін бағалаңыз:
(1 — ешқандай кері әсері жоқ, 5 — оқуға деген ынтаны толық төмендетеді)","5. Мектептегі ойлау (когнитивті) қажуының үй тапсырмасын орындау сапасына әсері қандай?
(1 — мектептен кейін де сергекпін, 5 — қатты шаршағандықтан үй тапсырмасын орындау өте қиын)","6. Аптаның соңына қарай (жұма, сенбі) интеллектуалдық және моральдық энергияңыздың таусылу деңгейін бағалаңыз:
(1 — энергия өте көп, сергекпін, 5 — энергия толық таусылған, шектен тыс шаршаймын)"
3,4,4,3,2,2
3,4,2,3,2,3
3,4,4,3,3,3
3,4,4,3,3,3
2,2,3,4,3,3
3,3,3,4,2,4
3,3,4,3,2,3
3,3,3,2,3,1
2,4,4,4,3,2
4,4,4,4,3,2
4,4,4,5,4,5
1,1,2,2,2,2
3,4,4,3,3,3
3,3,3,3,3,3
2,3,3,4,3,1
2,2,3,1,1,2
3,4,3,4,2,2
1,2,2,3,3,2
3,1,4,1,3,4
5,1,5,5,1,1
3,3,3,2,2,4
1,1,1,1,1,1
3,2,2,3,2,3
2,3,3,3,3,2
2,3,3,1,2,2
2,3,3,1,1,2
5,3,5,5,5,5
5,4,4,3,4,4
4,2,3,2,3,2
5,4,4,5,4,5
3,5,4,3,4,4
3,4,4,3,5,3
4,4,3,5,4,5
4,4,4,4,4,4
4,4,2,3,3,2
4,4,4,4,4,4
5,5,5,4,5,4
3,4,3,4,4,4
3,4,4,2,4,4
5,5,5,4,5,5
5,5,4,5,5,5
4,4,4,4,4,4
3,3,3,3,4,3
5,4,5,5,4,5
4,5,4,5,5,5
3,3,4,4,4,3
5,5,5,5,4,5
4,3,3,4,4,4
3,2,4,3,3,4
5,5,5,5,5,5
4,5,5,5,5,4
3,4,3,4,3,4
3,4,4,4,3,4
3,3,4,4,4,4
5,4,4,4,4,3
5,5,4,5,5,4
5,4,5,3,4,5
5,3,4,4,4,5
4,4,4,5,4,5
4,3,5,4,4,3
3,2,4,4,4,3
4,4,4,4,4,4
2,3,2,3,2,3
3,3,4,3,4,3
4,4,5,4,3,3
4,5,5,4,4,4
5,4,5,5,5,4
4,4,3,5,4,5
4,3,3,4,4,3
5,5,5,5,5,5
4,4,4,4,3,4
5,4,4,4,4,4
5,4,4,5,5,3
4,4,4,4,4,4
5,5,5,4,5,4
5,5,5,3,5,5
3,4,4,4,3,2
4,4,3,3,4,3
5,5,4,5,5,5
5,4,4,5,4,3
3,2,4,2,2,3
4,5,4,5,4,5
5,5,5,5,4,5
3,3,5,4,4,4
4,3,4,5,4,4
3,3,4,3,4,3
4,4,5,4,3,3
3,5,3,3,3,3
5,5,5,5,5,5
5,3,5,5,4,5
5,5,4,5,5,4
5,4,5,5,5,4
4,4,4,4,3,3
4,2,2,4,4,4
3,3,2,3,2,4
4,4,4,3,3,4
4,5,5,4,4,4
4,3,4,4,4,4
5,5,5,5,5,5
4,4,5,4,5,5
4,4,4,3,4,4
4,5,4,4,4,4
3,3,4,3,4,4
4,3,4,3,4,3
3,4,4,4,4,4
4,4,2,3,4,4
5,5,5,4,5,4
2,2,2,3,2,2
4,4,3,4,4,4
4,5,4,5,3,4
5,4,5,3,4,4
3,4,3,4,3,4
4,3,3,4,3,4
5,5,5,5,5,5
3,2,2,3,3,2
4,4,5,4,4,5
3,4,2,4,4,4
5,4,3,4,4,4
4,3,3,3,4,2
4,3,3,3,3,3
4,5,4,3,4,4
3,3,3,5,4,4
5,4,5,4,5,4
2,2,4,3,3,4
5,3,4,4,5,4
3,3,2,3,3,3
5,3,5,3,4,4
3,3,4,4,4,3
3,4,4,4,4,4
5,5,4,5,5,4
3,3,3,3,3,3
5,4,4,4,4,4
3,3,4,4,3,4
3,3,4,3,4,4
3,4,4,3,3,2
5,5,5,5,5,5
3,2,3,3,2,2
3,2,3,3,3,3
3,3,4,5,3,4
5,5,4,5,4,4
4,4,3,3,4,3
4,3,4,3,3,4
3,4,4,4,3,3
4,4,4,3,3,4
5,4,4,5,5,5
4,4,3,4,4,4
5,5,4,5,5,5
3,3,3,3,2,3
4,3,2,4,4,3
4,3,3,4,4,4
5,5,5,5,5,5
4,4,4,5,3,3
4,3,4,5,4,5
3,2,3,3,3,2
2,3,3,3,4,4
4,5,5,5,5,4
5,4,5,5,5,5
3,3,3,3,4,3
4,5,3,4,4,4
5,5,5,5,5,5
5,4,5,4,5,4
4,3,3,3,4,3
3,4,4,4,4,3
4,4,3,4,4,5
3,4,3,4,4,4
5,4,5,4,5,5
5,4,5,5,5,4
2,4,3,3,2,2
3,3,3,3,3,4
1,5,5,5,5,1
2,3,3,2,4,3
3,3,4,2,2,3
3,3,2,3,2,2
2,2,3,1,2,2
2,2,2,2,2,2
2,1,2,1,1,2
3,3,3,4,2,3
3,3,1,2,1,3
5,1,1,1,5,5
2,3,3,3,2,1
2,3,4,4,4,2
5,5,5,5,5,5
5,4,5,5,3,4
5,5,5,5,5,5
4,5,4,5,4,5
5,5,4,5,5,5
2,3,4,4,5,3
5,5,5,5,5,5
3,4,4,4,4,5
5,5,5,4,5,4
2,3,1,2,3,4
2,1,3,3,4,4
5,5,5,5,5,5
2,4,3,4,3,4
3,2,1,3,1,2
2,2,1,2,3,2
1,1,1,1,1,1
4,5,5,4,3,5
5,5,5,5,5,5
1,1,1,1,1,1
4,5,4,4,5,5
3,3,2,3,2,4
3,3,5,4,3,2
2,3,2,1,2,1
2,3,3,4,3,2
3,4,5,5,5,5
5,5,5,5,5,5
3,3,5,3,5,4
4,4,4,4,4,4
1,1,1,1,1,1
1,1,1,1,1,1
1,1,2,4,2,3
1,2,1,1,1,2
2,3,3,3,3,4
5,5,5,5,5,5
3,4,3,3,4,3
5,5,5,5,5,5
3,2,1,3,1,1
2,3,2,3,2,2
5,4,5,5,4,5
3,3,2,2,2,2
4,5,4,4,5,4
2,3,2,2,2,2
2,3,3,2,3,2
2,3,4,4,2,2
